mrp;price;product_category;rating;review_count;Nylon;Rayon;Spandex;polyester;Cotton;Modal;Elastane
18.77 ;18.77 ;Panties;4.3;375;0;0;0;0;95;0;5
42.00 ;37.80 ;Bras;3.9;178;67;0;33;0;0;0;0
54.99 ;54.99 ;Bras;4.2;555;0;0;15;85;0;0;0
60.00 ;60.00 ;Bras;4.5;725;82;0;18;0;0;0;0
32.00 ;28.99 ;Bras;3.7;54;0;0;0;0;92;0;8
27.00 ;27.00 ;Panties;4.4;91;41;0;11;48;0;0;0
38.00 ;30.99 ;Bras;3.8;27;71;0;0;0;0;0;29.5
65.00 ;38.99 ;Bras;4.3;88;0;0;10;90;0;0;0
42.00 ;29.99 ;Bras;3.9;178;67;0;33;0;0;0;0
44.00 ;44.00 ;Bras;4;10;88;0;12;0;0;0;0
46.00 ;41.39 ;Bras;4.3;431;71;0;29;0;0;0;0
60.00 ;60.00 ;Bras;4.5;725;82;0;18;0;0;0;0
50.00 ;36.99 ;Bras;4.2;913;85;0;15;0;0;0;0
55.00 ;32.95 ;Bras;4.2;555;0;0;15;85;0;0;0
34.00 ;34.00 ;Bras;4.4;107;95;0;5;0;0;0;0
22.00 ;13.36 ;Panties;4.4;380;0;0;0;0;53;35;12
65.00 ;45.27 ;Bras;4.3;88;0;0;10;90;0;0;0
22.00 ;9.95 ;Panties;4.4;380;0;0;0;0;53;35;12
22.00 ;22.00 ;Panties;4.4;380;0;0;0;0;53;35;12
44.00 ;32.00 ;Bras;4.2;409;76;0;0;0;0;0;24
50.00 ;34.93 ;Bras;4.3;390;41;0;11;48;0;0;0
20.00 ;20.00 ;Panties;4.7;507;0;0;0;0;53;35;12
68.00 ;54.98 ;Bras;4.2;234;80;0;20;0;0;0;0
50.00 ;36.99 ;Bras;4.2;913;85;0;15;0;0;0;0
50.00 ;50.00 ;Bras;4.3;391;41;0;11;48;0;0;0
42.00 ;42.00 ;Bras;3.9;178;70;0;0;0;0;0;30
50.00 ;50.00 ;Bras;4.3;390;41;0;11;48;0;0;0
65.00 ;47.99 ;Bras;4.3;88;0;0;10;90;0;0;0
46.00 ;46.00 ;Bras;4.3;431;72;0;0;0;0;0;28
50.00 ;50.00 ;Bras;4.2;913;85;0;15;0;0;0;0
42.00 ;42.00 ;Bras;4;221;80;0;20;0;0;0;0
68.00 ;68.00 ;Bras;3.8;54;58;0;42;0;0;0;0
65.00 ;59.32 ;Bras;4.3;1763;80;0;20;0;0;0;0
46.00 ;46.00 ;Bras;4.4;256;87;0;13;0;0;0;0
38.00 ;19.84 ;Bras;4.2;360;86;0;14;0;0;0;0
64.90 ;64.90 ;Bras;4.3;1894;80;0;20;0;0;0;0
60.00 ;60.00 ;Bras;4.5;773;82;0;18;0;0;0;0
50.00 ;50.00 ;Bras;4.2;972;85;0;15;0;0;0;0
38.00 ;29.35 ;Bras;4.3;382;86;0;14;0;0;0;0
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
65.00 ;65.00 ;Bras;4.4;314;0;0;0;100;0;0;0
22.00 ;22.00 ;Panties;4.4;405;0;0;0;0;53;35;12
38.00 ;33.63 ;Bras;3.8;32;71;0;0;0;0;0;29.5
50.00 ;47.00 ;Bras;4.3;414;54;0;13;33;0;0;0
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
49.95 ;49.95 ;Bras;4.2;972;85;0;15;0;0;0;0
70.40 ;70.40 ;Bras;4.4;291;87;0;13;0;0;0;0
65.00 ;65.00 ;Bras;4.3;1894;80;0;20;0;0;0;0
46.00 ;40.48 ;Bras;4.3;488;71;0;29;0;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
50.00 ;39.22 ;Bras;4.2;972;85;0;15;0;0;0;0
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
33.63 ;33.63 ;Bras;4.5;26;79;0;0;0;0;0;21
48.00 ;35.99 ;Bras;4.3;398;82;0;18;0;0;0;0
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
37.47 ;37.47 ;Panties;4.4;73;88;0;0;0;0;0;12
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
22.00 ;22.00 ;Panties;4.8;6;43;0;9;48;0;0;0
65.00 ;47.99 ;Bras;4.3;1894;80;0;20;0;0;0;0
68.00 ;68.00 ;Bras;4.2;250;80;0;20;0;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
68.00 ;36.59 ;Bras;4.2;250;80;0;20;0;0;0;0
39.00 ;39.00 ;Panties;4.3;429;0;0;0;0;95;0;5
12.00 ;10.40 ;Panties;4.5;99;82;0;0;0;0;0;18
65.00 ;65.00 ;Bras;4.4;1163;85;0;15;0;0;0;0
65.00 ;65.00 ;Bras;4.3;1894;80;0;20;0;0;0;0
49.99 ;49.99 ;Bras;4.5;773;100;0;0;0;0;0;0
20.00 ;12.90 ;Panties;4.7;532;0;0;0;0;53;35;12
50.00 ;50.00 ;Bras;4.1;483;0;0;0;100;0;0;0
33.00 ;33.00 ;Panties;4.7;460;0;0;0;0;90;0;10
60.00 ;42.00 ;Bras;4.5;773;100;0;0;0;0;0;0
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
38.00 ;38.00 ;Bras;4.3;382;86;0;14;0;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
72.00 ;72.00 ;Bras;3.8;105;72;0;28;0;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
50.00 ;50.00 ;Bras;4.2;972;85;0;15;0;0;0;0
33.00 ;33.00 ;Panties;4.2;16;0;0;0;0;95;0;5
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
60.00 ;60.00 ;Bras;4.5;773;100;0;0;0;0;0;0
48.00 ;48.00 ;Bras;4.3;398;82;0;18;0;0;0;0
60.00 ;60.00 ;Bras;4.4;772;82;0;18;0;0;0;0
32.00 ;25.60 ;Bras;3.9;93;0;0;0;0;92;0;8
50.00 ;50.00 ;Bras;4.1;483;0;0;0;100;0;0;0
36.00 ;36.00 ;Bras;4.6;68;72;0;0;0;0;0;28
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
38.00 ;22.09 ;Bras;4.3;382;86;0;14;0;0;0;0
65.00 ;39.95 ;Bras;4.2;114;0;0;10;90;0;0;0
68.00 ;36.54 ;Bras;4.2;96;70;0;30;0;0;0;0
38.00 ;33.63 ;Bras;3.8;32;71;0;0;0;0;0;29.5
60.00 ;48.00 ;Bras;4.4;772;100;0;0;0;0;0;0
55.00 ;48.00 ;Bras;4.3;605;0;0;15;85;0;0;0
65.00 ;65.00 ;Bras;4.2;114;0;0;10;90;0;0;0
65.00 ;48.70 ;Bras;4.2;114;0;0;10;90;0;0;0
68.00 ;26.38 ;Bras;4.2;96;70;0;30;0;0;0;0
31.95 ;31.95 ;Bras;4.3;414;41;0;11;48;0;0;0
65.00 ;65.00 ;Bras;4.3;1894;80;0;20;0;0;0;0
38.00 ;33.63 ;Bras;3.8;32;71;0;0;0;0;0;29.5
47.65 ;47.65 ;Bras;4.3;398;82;0;18;0;0;0;0
38.00 ;28.50 ;Bras;3.8;32;71;0;0;0;0;0;29.5
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
60.00 ;60.00 ;Bras;4.2;158;81;0;19;0;0;0;0
60.00 ;60.00 ;Bras;4.2;158;81;0;19;0;0;0;0
60.00 ;60.00 ;Bras;4.5;773;82;0;18;0;0;0;0
60.00 ;44.99 ;Bras;4.2;158;81;0;19;0;0;0;0
60.00 ;60.00 ;Bras;4.5;773;82;0;18;0;0;0;0
38.00 ;33.68 ;Bras;4.3;382;100;0;0;0;0;0;0
50.00 ;50.00 ;Bras;4.2;972;85;0;15;0;0;0;0
44.00 ;44.00 ;Bras;4;29;88;0;12;0;0;0;0
18.00 ;11.65 ;Bras;4;518;100;0;0;0;0;0;0
50.00 ;20.32 ;Bras;4.3;414;41;0;11;48;0;0;0
38.00 ;21.89 ;Bras;4.3;382;86;0;14;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
50.00 ;50.00 ;Bras;4.1;483;0;0;0;100;0;0;0
50.00 ;47.00 ;Bras;4.3;414;41;0;11;48;0;0;0
65.00 ;65.00 ;Bras;4.3;1894;80;0;20;0;0;0;0
