mrp,price,product_category,rating,review_count,Nylon,Rayon,Spandex,polyester,Cotton,Modal,Elastane,Classe
65.0,45.27,1,4.3,88,0,0,10,90,0,0,0.0,1
22.0,9.95,0,4.4,380,0,0,0,0,53,35,12.0,0
22.0,22.0,0,4.4,380,0,0,0,0,53,35,12.0,0
44.0,32.0,1,4.2,409,76,0,0,0,0,0,24.0,0
50.0,34.93,1,4.3,390,41,0,11,48,0,0,0.0,1
20.0,20.0,0,4.7,507,0,0,0,0,53,35,12.0,0
68.0,54.98,1,4.2,234,80,0,20,0,0,0,0.0,1
50.0,36.99,1,4.2,913,85,0,15,0,0,0,0.0,1
50.0,50.0,1,4.3,391,41,0,11,48,0,0,0.0,1
42.0,42.0,1,3.9,178,70,0,0,0,0,0,30.0,0
50.0,50.0,1,4.3,390,41,0,11,48,0,0,0.0,1
65.0,47.99,1,4.3,88,0,0,10,90,0,0,0.0,1
46.0,46.0,1,4.3,431,72,0,0,0,0,0,28.0,0
50.0,50.0,1,4.2,913,85,0,15,0,0,0,0.0,1
42.0,42.0,1,4.0,221,80,0,20,0,0,0,0.0,1
68.0,68.0,1,3.8,54,58,0,42,0,0,0,0.0,1
65.0,59.32,1,4.3,1763,80,0,20,0,0,0,0.0,1
46.0,46.0,1,4.4,256,87,0,13,0,0,0,0.0,1
38.0,19.84,1,4.2,360,86,0,14,0,0,0,0.0,1
64.9,64.9,1,4.3,1894,80,0,20,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
38.0,29.35,1,4.3,382,86,0,14,0,0,0,0.0,1
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
65.0,65.0,1,4.4,314,0,0,0,100,0,0,0.0,1
22.0,22.0,0,4.4,405,0,0,0,0,53,35,12.0,0
38.0,33.63,1,3.8,32,71,0,0,0,0,0,29.5,0
50.0,47.0,1,4.3,414,54,0,13,33,0,0,0.0,1
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
49.95,49.95,1,4.2,972,85,0,15,0,0,0,0.0,1
70.4,70.4,1,4.4,291,87,0,13,0,0,0,0.0,1
65.0,65.0,1,4.3,1894,80,0,20,0,0,0,0.0,1
46.0,40.48,1,4.3,488,71,0,29,0,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
50.0,39.22,1,4.2,972,85,0,15,0,0,0,0.0,1
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
33.63,33.63,1,4.5,26,79,0,0,0,0,0,21.0,0
48.0,35.99,1,4.3,398,82,0,18,0,0,0,0.0,1
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
37.47,37.47,0,4.4,73,88,0,0,0,0,0,12.0,0
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
22.0,22.0,0,4.8,6,43,0,9,48,0,0,0.0,0
65.0,47.99,1,4.3,1894,80,0,20,0,0,0,0.0,1
68.0,68.0,1,4.2,250,80,0,20,0,0,0,0.0,1
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
68.0,36.59,1,4.2,250,80,0,20,0,0,0,0.0,1
39.0,39.0,0,4.3,429,0,0,0,0,95,0,5.0,0
12.0,10.4,0,4.5,99,82,0,0,0,0,0,18.0,0
65.0,65.0,1,4.4,1163,85,0,15,0,0,0,0.0,1
65.0,65.0,1,4.3,1894,80,0,20,0,0,0,0.0,1
49.99,49.99,1,4.5,773,100,0,0,0,0,0,0.0,1
20.0,12.9,0,4.7,532,0,0,0,0,53,35,12.0,0
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
33.0,33.0,0,4.7,460,0,0,0,0,90,0,10.0,0
60.0,42.0,1,4.5,773,100,0,0,0,0,0,0.0,1
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
38.0,38.0,1,4.3,382,86,0,14,0,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
72.0,72.0,1,3.8,105,72,0,28,0,0,0,0.0,1
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
33.0,33.0,0,4.2,16,0,0,0,0,95,0,5.0,0
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
60.0,60.0,1,4.5,773,100,0,0,0,0,0,0.0,1
48.0,48.0,1,4.3,398,82,0,18,0,0,0,0.0,1
60.0,60.0,1,4.4,772,82,0,18,0,0,0,0.0,1
32.0,25.6,1,3.9,93,0,0,0,0,92,0,8.0,0
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
36.0,36.0,1,4.6,68,72,0,0,0,0,0,28.0,0
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
65.0,65.0,1,4.4,841,91,0,9,0,0,0,0.0,1
38.0,22.09,1,4.3,382,86,0,14,0,0,0,0.0,1
65.0,39.95,1,4.2,114,0,0,10,90,0,0,0.0,1
68.0,36.54,1,4.2,96,70,0,30,0,0,0,0.0,1
38.0,33.63,1,3.8,32,71,0,0,0,0,0,29.5,0
60.0,48.0,1,4.4,772,100,0,0,0,0,0,0.0,1
55.0,48.0,1,4.3,605,0,0,15,85,0,0,0.0,1
65.0,65.0,1,4.2,114,0,0,10,90,0,0,0.0,1
65.0,48.7,1,4.2,114,0,0,10,90,0,0,0.0,1
68.0,26.38,1,4.2,96,70,0,30,0,0,0,0.0,1
31.95,31.95,1,4.3,414,41,0,11,48,0,0,0.0,1
65.0,65.0,1,4.3,1894,80,0,20,0,0,0,0.0,1
38.0,33.63,1,3.8,32,71,0,0,0,0,0,29.5,0
47.65,47.65,1,4.3,398,82,0,18,0,0,0,0.0,1
38.0,28.5,1,3.8,32,71,0,0,0,0,0,29.5,0
68.0,68.0,1,3.7,62,58,0,42,0,0,0,0.0,1
60.0,60.0,1,4.2,158,81,0,19,0,0,0,0.0,1
60.0,60.0,1,4.2,158,81,0,19,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
60.0,44.99,1,4.2,158,81,0,19,0,0,0,0.0,1
60.0,60.0,1,4.5,773,82,0,18,0,0,0,0.0,1
38.0,33.68,1,4.3,382,100,0,0,0,0,0,0.0,1
50.0,50.0,1,4.2,972,85,0,15,0,0,0,0.0,1
44.0,44.0,1,4.0,29,88,0,12,0,0,0,0.0,1
18.0,11.65,1,4.0,518,100,0,0,0,0,0,0.0,0
50.0,20.32,1,4.3,414,41,0,11,48,0,0,0.0,1
38.0,21.89,1,4.3,382,86,0,14,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
50.0,47.0,1,4.3,414,41,0,11,48,0,0,0.0,1
65.0,65.0,1,4.3,1894,80,0,20,0,0,0,0.0,1
60.0,48.0,1,4.5,773,82,0,18,0,0,0,0.0,1
65.0,44.48,1,4.2,114,0,0,10,90,0,0,0.0,1
41.0,41.0,0,3.9,47,100,0,0,0,0,0,0.0,0
65.0,65.0,1,4.3,1894,80,0,20,0,0,0,0.0,1
65.0,65.0,1,4.4,1163,85,0,15,0,0,0,0.0,1
50.0,47.0,1,4.3,414,41,0,11,48,0,0,0.0,1
27.0,27.0,0,4.3,95,41,0,11,48,0,0,0.0,0
50.0,47.0,1,4.3,414,54,0,13,33,0,0,0.0,1
38.0,38.0,1,4.3,382,86,0,14,0,0,0,0.0,1
46.0,46.0,1,4.4,291,87,0,13,0,0,0,0.0,1
60.0,39.99,1,4.4,772,100,0,0,0,0,0,0.0,1
55.0,55.0,1,4.3,605,0,0,15,85,0,0,0.0,1
38.0,28.5,1,3.8,32,71,0,0,0,0,0,29.5,0
50.0,50.0,1,4.1,483,0,0,0,100,0,0,0.0,1
36.0,29.99,1,4.6,68,72,0,0,0,0,0,28.0,0
60.0,39.99,1,4.5,773,100,0,0,0,0,0,0.0,1
50.0,50.0,1,4.3,414,54,0,13,33,0,0,0.0,1
65.0,65.0,1,4.4,1163,80,0,20,0,0,0,0.0,1
60.0,48.0,1,4.4,772,100,0,0,0,0,0,0.0,1
46.0,46.0,1,4.3,191,82,0,18,0,0,0,0.0,1
38.0,21.89,1,4.3,382,86,0,14,0,0,0,0.0,1
55.0,23.73,1,4.3,605,0,0,15,85,0,0,0.0,1
22.0,15.91,0,4.2,19,0,0,0,0,92,0,8.0,0
50.0,36.99,1,4.2,972,85,0,15,0,0,0,0.0,1
20.0,20.0,0,4.7,532,0,0,0,0,53,35,12.0,0
46.0,40.48,1,4.3,488,71,0,29,0,0,0,0.0,1
46.0,46.0,1,4.3,398,82,0,18,0,0,0,0.0,1
49.67,49.67,1,4.3,398,82,0,18,0,0,0,0.0,1
